date	count	package
2022-09-18	2	ottrpal
2022-09-19	5	ottrpal
2022-09-20	16	ottrpal
2022-09-21	6	ottrpal
2022-09-22	9	ottrpal
2022-09-23	10	ottrpal
2022-09-25	6	ottrpal
2022-09-26	13	ottrpal
2022-09-27	8	ottrpal
2022-09-28	4	ottrpal
2022-09-29	6	ottrpal
2022-09-30	4	ottrpal
2022-10-01	3	ottrpal
2022-10-02	8	ottrpal
2022-10-03	10	ottrpal
2022-10-04	5	ottrpal
2022-10-05	12	ottrpal
2022-10-06	8	ottrpal
2022-10-07	7	ottrpal
2022-10-08	10	ottrpal
2022-10-09	2	ottrpal
2022-10-10	5	ottrpal
2022-10-11	6	ottrpal
2022-10-12	16	ottrpal
2022-10-13	3	ottrpal
2022-10-14	4	ottrpal
2022-10-15	10	ottrpal
2022-10-17	33	ottrpal
2022-10-18	11	ottrpal
2022-10-19	4	ottrpal
2022-10-20	13	ottrpal
2022-10-21	1	ottrpal
2022-10-22	12	ottrpal
2022-10-23	15	ottrpal
2022-10-24	5	ottrpal
2022-10-25	6	ottrpal
2022-10-26	12	ottrpal
2022-10-27	2	ottrpal
2022-10-28	12	ottrpal
2022-10-30	1	ottrpal
2022-10-31	3	ottrpal
2022-11-01	6	ottrpal
2022-11-02	8	ottrpal
2022-11-03	5	ottrpal
2022-11-04	2	ottrpal
2022-11-05	8	ottrpal
2022-11-06	2	ottrpal
2022-11-07	13	ottrpal
2022-11-08	15	ottrpal
2022-11-09	9	ottrpal
2022-11-10	11	ottrpal
2022-11-11	6	ottrpal
2022-11-12	15	ottrpal
2022-11-13	6	ottrpal
2022-11-14	7	ottrpal
2022-11-15	3	ottrpal
2022-11-16	2	ottrpal
2022-11-17	10	ottrpal
2022-11-18	13	ottrpal
2022-11-19	4	ottrpal
2022-11-20	2	ottrpal
2022-11-21	9	ottrpal
2022-11-22	4	ottrpal
2022-11-23	6	ottrpal
2022-11-24	6	ottrpal
2022-11-25	5	ottrpal
2022-11-26	8	ottrpal
2022-11-27	5	ottrpal
2022-11-28	8	ottrpal
2022-11-29	4	ottrpal
2022-11-30	4	ottrpal
2022-12-01	7	ottrpal
2022-12-02	5	ottrpal
2022-12-03	2	ottrpal
2022-12-04	6	ottrpal
2022-12-05	6	ottrpal
2022-12-06	2	ottrpal
2022-12-07	5	ottrpal
2022-12-08	2	ottrpal
2022-12-09	5	ottrpal
2022-12-10	2	ottrpal
2022-12-11	4	ottrpal
2022-12-12	3	ottrpal
2022-12-13	6	ottrpal
2022-12-14	8	ottrpal
2022-12-15	7	ottrpal
2022-12-16	4	ottrpal
2022-12-17	2	ottrpal
2022-12-18	5	ottrpal
2022-12-19	5	ottrpal
2022-12-20	4	ottrpal
2022-12-21	9	ottrpal
2022-12-22	2	ottrpal
2022-12-23	14	ottrpal
2022-12-24	5	ottrpal
2022-12-25	4	ottrpal
2022-12-26	2	ottrpal
2022-12-27	1	ottrpal
2022-12-28	6	ottrpal
2022-12-29	1	ottrpal
2022-12-30	3	ottrpal
2022-12-31	1	ottrpal
2023-01-01	1	ottrpal
2023-01-02	4	ottrpal
2023-01-03	2	ottrpal
2023-01-04	4	ottrpal
2023-01-05	3	ottrpal
2023-01-06	8	ottrpal
2023-01-07	5	ottrpal
2023-01-08	4	ottrpal
2023-01-09	9	ottrpal
2023-01-10	3	ottrpal
2023-01-11	16	ottrpal
